Model,Smartness,Wins,Losses,Draws
model2_episode_0.h5,0,3,16,1
model2_episode_0.h5,0.5,0,20,0
model2_episode_0.h5,1,0,17,3
model2_episode_1000.h5,0,7,8,5
model2_episode_1000.h5,0.5,3,14,3
model2_episode_1000.h5,1,0,17,3
model2_episode_2000.h5,0,8,11,1
model2_episode_2000.h5,0.5,5,15,0
model2_episode_2000.h5,1,1,19,0
model2_episode_3000.h5,0,9,8,3
model2_episode_3000.h5,0.5,3,10,7
model2_episode_3000.h5,1,0,17,3
model2_episode_4000.h5,0,7,9,4
model2_episode_4000.h5,0.5,10,7,3
model2_episode_4000.h5,1,0,15,5
model2_episode_5000.h5,0,12,6,2
model2_episode_5000.h5,0.5,8,6,6
model2_episode_5000.h5,1,3,12,5
model2_episode_6000.h5,0,15,4,1
model2_episode_6000.h5,0.5,10,6,4
model2_episode_6000.h5,1,1,12,7
model2_episode_7000.h5,0,17,3,0
model2_episode_7000.h5,0.5,8,7,5
model2_episode_7000.h5,1,2,8,10
model2_episode_8000.h5,0,12,2,6
model2_episode_8000.h5,0.5,8,5,7
model2_episode_8000.h5,1,2,8,10
model2_episode_9000.h5,0,14,2,4
model2_episode_9000.h5,0.5,8,4,8
model2_episode_9000.h5,1,1,7,12
model2.h5,0,14,2,4
model2.h5,0.5,9,7,4
model2.h5,1,1,6,13
