Model,Smartness,Wins,Losses,Draws
model1_episode_0.h5,0,9,9,2
model1_episode_0.h5,0.5,1,15,4
model1_episode_0.h5,1,0,18,2
model1_episode_1000.h5,0,5,11,4
model1_episode_1000.h5,0.5,2,15,3
model1_episode_1000.h5,1,1,16,3
model1_episode_2000.h5,0,8,9,3
model1_episode_2000.h5,0.5,6,12,2
model1_episode_2000.h5,1,2,14,4
model1_episode_3000.h5,0,6,6,8
model1_episode_3000.h5,0.5,4,12,4
model1_episode_3000.h5,1,0,16,4
model1_episode_4000.h5,0,8,11,1
model1_episode_4000.h5,0.5,3,14,3
model1_episode_4000.h5,1,0,14,6
model1_episode_5000.h5,0,6,10,4
model1_episode_5000.h5,0.5,6,8,6
model1_episode_5000.h5,1,1,12,7
model1_episode_6000.h5,0,11,2,7
model1_episode_6000.h5,0.5,5,10,5
model1_episode_6000.h5,1,1,16,3
model1_episode_7000.h5,0,8,9,3
model1_episode_7000.h5,0.5,2,10,8
model1_episode_7000.h5,1,1,14,5
model1_episode_8000.h5,0,9,8,3
model1_episode_8000.h5,0.5,4,12,4
model1_episode_8000.h5,1,1,11,8
model1_episode_9000.h5,0,11,7,2
model1_episode_9000.h5,0.5,3,13,4
model1_episode_9000.h5,1,2,13,5
model1.h5,0,9,8,3
model1.h5,0.5,7,8,5
model1.h5,1,1,17,2
