Model,Smartness,Wins,Losses,Draws
model6_episode_0.h5,0,7,10,3
model6_episode_0.h5,0.5,4,15,1
model6_episode_0.h5,1,0,19,1
model6_episode_1000.h5,0,7,11,2
model6_episode_1000.h5,0.5,4,14,2
model6_episode_1000.h5,1,1,14,5
model6_episode_2000.h5,0,9,8,3
model6_episode_2000.h5,0.5,1,18,1
model6_episode_2000.h5,1,1,15,4
model6_episode_3000.h5,0,9,8,3
model6_episode_3000.h5,0.5,2,15,3
model6_episode_3000.h5,1,0,18,2
model6_episode_4000.h5,0,8,11,1
model6_episode_4000.h5,0.5,2,15,3
model6_episode_4000.h5,1,0,14,6
model6_episode_5000.h5,0,12,6,2
model6_episode_5000.h5,0.5,11,8,1
model6_episode_5000.h5,1,0,15,5
model6_episode_6000.h5,0,18,2,0
model6_episode_6000.h5,0.5,8,9,3
model6_episode_6000.h5,1,0,11,9
model6_episode_7000.h5,0,13,3,4
model6_episode_7000.h5,0.5,8,6,6
model6_episode_7000.h5,1,2,11,7
model6_episode_8000.h5,0,12,4,4
model6_episode_8000.h5,0.5,6,7,7
model6_episode_8000.h5,1,1,8,11
model6_episode_9000.h5,0,14,3,3
model6_episode_9000.h5,0.5,6,5,9
model6_episode_9000.h5,1,2,6,12
model6.h5,0,13,6,1
model6.h5,0.5,10,2,8
model6.h5,1,4,5,11
