Model,Smartness,Wins,Losses,Draws
model4_episode_0.h5,0,7,12,1
model4_episode_0.h5,0.5,7,13,0
model4_episode_0.h5,1,0,20,0
model4_episode_1000.h5,0,11,9,0
model4_episode_1000.h5,0.5,3,17,0
model4_episode_1000.h5,1,0,20,0
model4_episode_2000.h5,0,9,9,2
model4_episode_2000.h5,0.5,4,15,1
model4_episode_2000.h5,1,0,16,4
model4_episode_3000.h5,0,9,9,2
model4_episode_3000.h5,0.5,4,13,3
model4_episode_3000.h5,1,2,17,1
model4_episode_4000.h5,0,12,7,1
model4_episode_4000.h5,0.5,8,9,3
model4_episode_4000.h5,1,1,19,0
model4_episode_5000.h5,0,11,8,1
model4_episode_5000.h5,0.5,3,15,2
model4_episode_5000.h5,1,1,19,0
model4_episode_6000.h5,0,10,7,3
model4_episode_6000.h5,0.5,4,8,8
model4_episode_6000.h5,1,3,13,4
model4_episode_7000.h5,0,12,6,2
model4_episode_7000.h5,0.5,7,9,4
model4_episode_7000.h5,1,4,10,6
model4_episode_8000.h5,0,11,7,2
model4_episode_8000.h5,0.5,13,6,1
model4_episode_8000.h5,1,2,11,7
model4_episode_9000.h5,0,16,0,4
model4_episode_9000.h5,0.5,11,3,6
model4_episode_9000.h5,1,2,9,9
model4.h5,0,16,3,1
model4.h5,0.5,6,5,9
model4.h5,1,2,6,12
