Model,Smartness,Wins,Losses,Draws
model5_episode_0.h5,0,4,14,2
model5_episode_0.h5,0.5,2,15,3
model5_episode_0.h5,1,0,16,4
model5_episode_1000.h5,0,4,12,4
model5_episode_1000.h5,0.5,1,19,0
model5_episode_1000.h5,1,0,20,0
model5_episode_2000.h5,0,10,10,0
model5_episode_2000.h5,0.5,3,15,2
model5_episode_2000.h5,1,1,18,1
model5_episode_3000.h5,0,11,7,2
model5_episode_3000.h5,0.5,8,12,0
model5_episode_3000.h5,1,1,18,1
model5_episode_4000.h5,0,6,9,5
model5_episode_4000.h5,0.5,3,12,5
model5_episode_4000.h5,1,0,16,4
model5_episode_5000.h5,0,12,6,2
model5_episode_5000.h5,0.5,7,10,3
model5_episode_5000.h5,1,0,16,4
model5_episode_6000.h5,0,15,4,1
model5_episode_6000.h5,0.5,7,9,4
model5_episode_6000.h5,1,0,16,4
model5_episode_7000.h5,0,15,3,2
model5_episode_7000.h5,0.5,8,8,4
model5_episode_7000.h5,1,2,12,6
model5_episode_8000.h5,0,13,2,5
model5_episode_8000.h5,0.5,13,4,3
model5_episode_8000.h5,1,0,8,12
model5_episode_9000.h5,0,12,3,5
model5_episode_9000.h5,0.5,6,7,7
model5_episode_9000.h5,1,0,5,15
model5.h5,0,16,2,2
model5.h5,0.5,7,6,7
model5.h5,1,1,7,12
